Loading model from train_sessions\train_sess_1\trained_models\lenet_pruned_1420step_0.9481accuracy.torchmodel
Initial accuracy = 0.9462
Pruning Threshold = 0.30220787320286036
Number of pruned params = 4353 out of 61706 total params
Fraction of params pruned = 7.054419343337763%
Fraction of zero params = 93.3215570609017%
Accuracy after pruning = 0.3191
Iter 298, loss = 1.5238251686096191
Iter 299, loss = 1.7406151294708252
Iter 300, loss = 1.720139741897583
Iter 301, loss = 1.8400230407714844
Iter 302, loss = 1.6709399223327637
Iter 303, loss = 1.724000334739685
Iter 304, loss = 1.4635505676269531
Iter 305, loss = 1.5858240127563477
Iter 306, loss = 1.7957395315170288
Iter 307, loss = 1.8014453649520874
Iter 308, loss = 1.487372875213623
Iter 309, loss = 1.80637526512146
Iter 310, loss = 1.510951042175293
Iter 311, loss = 1.8029927015304565
Iter 312, loss = 1.711036205291748
Iter 313, loss = 1.9489352703094482
Iter 314, loss = 1.9175758361816406
Iter 315, loss = 1.5276622772216797
Iter 316, loss = 1.8922836780548096
Iter 317, loss = 1.787212610244751
Iter 318, loss = 1.6430797576904297
Iter 319, loss = 1.8459200859069824
Iter 320, loss = 1.4569694995880127
Iter 321, loss = 1.8516368865966797
Iter 322, loss = 1.802377700805664
Iter 323, loss = 1.7451385259628296
Iter 324, loss = 1.615249752998352
Iter 325, loss = 1.6249799728393555
Iter 326, loss = 1.5836807489395142
Iter 327, loss = 1.8057193756103516
Iter 328, loss = 1.7650066614151
Iter 329, loss = 1.7732681035995483
Iter 330, loss = 1.8634110689163208
Iter 331, loss = 1.7727739810943604
Iter 332, loss = 1.7502729892730713
Iter 333, loss = 1.719653844833374
Iter 334, loss = 1.4973164796829224
Iter 335, loss = 1.7056998014450073
Iter 336, loss = 1.4359071254730225
Iter 337, loss = 1.7016690969467163
Iter 338, loss = 1.5313377380371094
Iter 339, loss = 1.6663485765457153
Iter 340, loss = 2.0130529403686523
Iter 341, loss = 2.2300591468811035
Iter 342, loss = 1.7197134494781494
Iter 343, loss = 1.5607681274414062
Iter 344, loss = 1.5279393196105957
Iter 345, loss = 1.6199281215667725
Iter 346, loss = 1.774206280708313
Iter 347, loss = 1.8046156167984009
Iter 348, loss = 1.645867943763733
Iter 349, loss = 1.7848848104476929
